Inventaire?,N° réf,Jeux,Classification ludothèque COL,COL adapté 1,COL adapté 2,Etat,Âge,Duree,Nbre de joueurs,Thème,Prix neuf,Jeton(s),A vendre?,Poids,Nbre de cartes,Dimension cartes,don provenance?,Date d'entrée,trictrac,titre officiel,annee de sortie,illustrateur,image_editeur,auteur,,editeur,description,caractéristique,mécanisme,Commentaires,Année de rentrée,Enfants / Adultes,Manque,Inventaire,dernier inventaire,liens vers video régles
ok,1,Time s'up family,R,EXP,EXP,Bon,8,30,4 +,Abstrait,20.9,2,,447,220,60*91,Don de Vincent,01-09-2013,http://www.trictrac.net/jeu-de-societe/time-s-up-family/infos,Time's Up ! Family,2010,,"http://img4.trictrac.net/generate/default_100_100/1359041833.B5j8Q5q.jpg
http://img3.trictrac.net/generate/default_100_100/1364137624.oG0xA.jpeg",Peter Sarrett,,,,,,,2013-2014,Adultes,5 cartes,"1 carnet, 1 sablier, règle, 220 cartes, 1 sac tissus",25/11/2018,
vendu,2,Ville de Paris,R,REF,REF,Usé,10,60,2 - 4,Ville,25,2,oui,,,,Don de Philip,01-09-2013,http://www.trictrac.net/jeu-de-societe/jeu-ville-de-paris/infos,,,,,,,,,,,,2013-2014,Adultes,1 cartes,"80 cartes; 1 plateau, 8 pions , 3 dés; 1 régle",12/08/2019,
ok,3,Wanted,R,EQU,EXP,Abimé,10,30,3 - 8,Western,35,2,,541,110,88*57,Don de ?,01-09-2013,http://www.trictrac.net/jeu-de-societe/wanted-dead-or-alive/infos,Wanted - Dead or Alive,2004,,http://img.trictrac.net/generate/default_100_100/1364138721.1r4lC.jpeg,Emiliano Sciarra,,,,,,,2013-2014,Adultes,,1 étoile;199 cartes;régles.,09/08/2019,
ok,4,Zombicide,R,COO,REF,Bon,13,60,1 - 6,Zombies,80,3,,,,,"Don de Stéphane, Vincent et Sandrine",01-09-2013,http://www.trictrac.net/jeu-de-societe/zombicide/infos,Zombicide,2012,Jean-Baptiste Lullien,"http://img.trictrac.net/generate/default_100_100/1364251823.Gh5Dv3.png
http://img4.trictrac.net/generate/default_100_100/1377612117.Mwzz5.png",Nicolas Raoult,,,,,,,2013-2014,Adultes,"1 pion bruit
1 pion objectif",9 dalles de jeu + 71 figurines + 40 marcheurs + 8 gros tas + 16 coureurs + 1 abomination + 6 dés + 4 pions voiture + 6 pions zone d'invasion + 1 pion sortie + 110 mini-cartes + 6 fiches d'identités de survivant + 10 pions objectif + 18 pions bruit + 12 pions porte + 1 pions joueur + 24 marqueurs de progression + 6 pointeurs d'expérience,09/08/2019,
ok,5,Cash & guns Live,R,EXP,EXP,Bon,10,20,8 - 20,Bandits,20,2,,250,110,88*67,Don de Sandrine,01-10-2013,,,,,,,,,,,,voir cave chateau,2013-2014,Adultes,,1 sifflet,,
A vendre,6,Ninpo,R,COM,COM,Passable,10,45,2 - 6,Asie,20,2,oui,200,120,51*90,,05-10-2013,,,,,,,,,,,,,2013-2014,Adultes,,16 marqueurs; 120 cartes; ,01/08/2019,
ok,7,Looping louie,R,ADR,ADR,Usé,4,15,2 - 4,Avions,30,2,,670,,,Don de Sandrine,01-11-2013,http://www.trictrac.net/jeu-de-societe/looping-louis/infos,Looping Louis,2006,,http://img.trictrac.net/generate/default_100_100/1359042220.QiRi2O4.gif,Carol Wiseley,,,,,,,2013-2014,Enfants,3 jetons,12 jetons + 4 lanceurs + 1 bras avec avion + 1 base,09/08/2019,
ok,8,Attrape chat,R,ASS,ASS,Bon,4,15,2 - 4,Animaux,15,1,,211,36,88 *57,Don de Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,4 pions,25 pions + 4 chats + 1 balle + 1 souris + 1 tapis+ 36 cartes,02/08/2019,
ok,9,Bazar bizarre,R,COM,COM,Usé,8,25,2 - 8,Fantômes,14,1,,233,60,60*92,,01-11-2013,http://www.trictrac.net/jeu-de-societe/bazar-bizarre/infos,Bazar Bizarre,2011,Gabriela Silveira,"http://img2.trictrac.net/generate/default_100_100/1367829433.RkWy0q6v.jpeg
http://img3.trictrac.net/generate/default_100_100/1364140093.3v0lhF.png",Jacques Zeimet,,,,,,,2013-2014,Enfants,,"5 pieces en bois, 60 cartes, 1 règle",26/08/2019,
ok,10,Blitz,R,ASS,ASS,Bon,10,20,3 - 6,Abstrait,19,1,,,174,,,01-11-2013,,,,,,,,,,,,,2013-2014,Adultes,,"174 cartes, 1 dé plastique, 1 sachet tissus, 1 règle du jeu",06/08/2019,
vendu,12,Boîte à énigmes (La),R,QUE,QUE,Usé,16,30,2 +,Médiéval,25,2,oui,451,78,131*71,Don de Géraldine,01-11-2016,http://www.trictrac.net/jeu-de-societe/la-boite-a-enigmes/infos,La Boîte à Énigmes,2008,Ivan Sigg,http://img3.trictrac.net/generate/default_100_100/1377505935.Nb2w6Z7R.jpeg,Fabrice Mazza,,,,,,,2016-2017,Adultes,,"78 cartes (13 mots, 13 lettrerébus, 13 manipulations, 13 observation, 13 chiffres, 13 logique), 1 règle du jeu, 6 intercalaires 1 livret solution",08/11/2018,
vendu,13,Brouhaha,R,ASS,ASS,Bon,6,30,3 - 10+,Animaux,9,1,oui,,,,Don de Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,,"2 cartes règle du jeu, 42 cartes animaux, 4 cartes chasseur",31/07/2019,
ok,14,Cata castor,R,ADR,ADR,Passable,4,10,2 - 4,Animaux,12,1,,170,,,Don de Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,,1 paysage + 1 castor en bois + 37 troncs + 9 jetons + 1 baton,02/08/2019,
ok,15,Chat alors ! Oh my dogness!,R,EXP,EXP,Bon,4,15,2 - 6,Animaux,10,1,,120,54,87*64,Bérangère,01-11-2013,,,,,,,,Sit Down !,,,,,2013-2014,Enfants,,"11 paires de cartes chat, 11 paires de cartes chiens + 5 cartes madame chincha + 1 carte mistigri + 4 cartes blanches + 1 règle du jeux",29/07/2019,
ok,16,Grande roue (La),R,QUE,QUE,Passable,4,20,2 - 6,Abstrait,19,1,,626,124,65*65,Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,1 cartes obs,"1 roue + 100 cartes jeu (33 observation, 33 défis, 33 devinette)  + 24 carte trophée 1 régles",07/10/2018,
ok,17,Kikiriko,R,ASS,ASS,Usé,5,20,3 - 8,Animaux,12,1,,221,112,56*85,Bérangère,01-11-2013,http://www.trictrac.net/jeu-de-societe/kikiriko/infos,Kikiriko,2008,,http://img.trictrac.net/generate/default_100_100/1364148115.sdV8Tf.jpeg,Véronique Debroise,,,,,,,2013-2014,Enfants,,112 cartes + regles,29/07/2019,
ok,18,Labyrinthe master,R,COM,COM,Usé,10,30,2 - 4,Fantasy,30,2,,900,21,53*81,,01-11-2013,http://www.trictrac.net/jeu-de-societe/labyrinthe-master/infos,Labyrinthe Master,1991,,http://img3.trictrac.net/generate/default_100_100/1358257219.y1pr0.jpg,Max J. Kobbert,,,,,,,2013-2014,Adultes,12 baguettes,1 plateau de jeu + 4 pions + 1 règle + 12 baguettes + 34 tuiles + 21 jetons ,25/11/2018,
ok,19,Licornes dans les nuages,R,PAR,PAR,Bon,3,20,2 - 4,Fantasy,12,1,,415,,,,01-11-2013,http://www.trictrac.net/jeu-de-societe/licornes-dans-les-nuages/infos,Licornes dans les nuages,2014,,http://img3.trictrac.net/generate/default_100_100/1359042025.6F2YE.jpg,Kristin Mückel,,,,,,,2013-2014,Enfants,8 cristaux,1 plateau de jeu + 4 licornes + 2 dés  + 60 cristaux + 1 règle,02/08/2019,
ok,20,Maask,R,ASS,ASS,Usé,6,15,2 - 6,Médiéval,15,1,,710,,,Don de Bérangère,01-11-2013,http://www.trictrac.net/jeu-de-societe/maask/infos,Maask,2004,,http://img.trictrac.net/generate/default_100_100/1364157360.S5r4L2.jpeg,Thierry Denoual,,,,,,,2013-2014,Enfants,,1 plateau + 12 jetons en bois + 12 pions + 2 dés,09/08/2019,
serait vendu,21,Mosquito,R,ASS,ASS,Usé,6,15,2 - 4,"Animaux
",15,1,oui,410,48,105*70,Bérangère,01-11-2013,http://www.trictrac.net/jeu-de-societe/mosquito/infos,Mosquito,2006,,http://img4.trictrac.net/generate/default_100_100/1364140014.O67Jl4.jpeg,Djeco,,,,,,,2013-2014,Enfants,,7 figurines 25 jetons,06/08/2019,
vendu,22,Savanna challenge,R,QUE,QUE,Passable,4,15,2 - 5,Animaux,15,1,oui,437,54,54*88,Bérangère,01-11-2013,,,,,,,,,,,,,2013-2014,Enfants,,6 cartes joker + 48 cartes animaux + 1 sabot + 1 regle,29/07/2019,
ok,23,Shadow Hunters + extension,R,EQU,EXP,Usé,8,60,4 - 8,Fantasy,27,2,,580,82,,Don de Vincent,01-11-2013,http://www.trictrac.net/jeu-de-societe/shadow-hunters-0/infos,Shadow Hunters,2009,,"http://img2.trictrac.net/generate/default_100_100/1364143905.Wyy29.jpeg
http://www.trictrac.net/resources/formats/default_100_100.png",Yasutaka Ikeda,,"CoolMiniOrNot
Guillotine Games",,,,,2013-2014,Adultes,,"2 dés (1 de 6, 1 de 4) + 16 dés couleurs + 8 cartes perso + plateau de jeu, 72 cartes + 11 cartes de l'extension",09/08/2019,
ok,24,Pirates des égouts,R,COO,REF,Bon,10,45,2 - 5,Pirates,35,2,,,,,,01-02-2014,http://www.trictrac.net/jeu-de-societe/pirates-des-egouts/infos,Pirates des Egouts,2012,Marina Fahrenbach,"http://img2.trictrac.net/generate/default_100_100/1370003455.Y70bn.jpeg
http://img.trictrac.net/generate/default_100_100/1364147920.F8HA5X.png",Andreas Pelikan,,,,,,,2013-2014,Adultes,figurine voir victor,3 plateaux frégate + 54 cartes talisman + 30 figurines pirates + 20 bases colorées + 42 jeux butins + 14 jetons bonnus + 6cartes de tribu + 2 aides de jeux,12/08/2019,
ok,25,Pom pom,R,COM,COM,Bon,6,10,2 - 6,"Nature
",15,1,,160,55,55*84,F. Toscano,01-02-2014,http://www.trictrac.net/jeu-de-societe/pom-pom/infos,Pom Pom,2011,Johanna Poncet,http://img4.trictrac.net/generate/default_100_100/1370440372.51af42b421609.jpg,Florent Toscano,,Opla,,,,,2013-2014,Adultes,,régles; 48 cartes fruits ; 4 cartes camités ; 4 cartes marchés,31/07/2019,
ok,26,Carom,R,ADR,ADR,Usé,7,30,2 - 4,Bois,65,3,,,,,Don Jean François,01-05-2014,,,,,,,,Play Factory,,,,,2013-2014,Animations,,"1 plateau; 2 * 9 pions, 1 pions rouge",12/08/2019,
ok,27,Long cours,R,REF,REF,Abimé,12,75,2 - 6,Commerce,30,2,,,36,,Sylvie,01-05-2014,,,,,,,,Haba,,,,,2013-2014,Adultes,,1 plateau + 6 navires + 1 navire corsaire + 240 tickets marchandise + des billets + 2 dés,12/08/2019,
ok,28,Palazzo Paletti,R,ADR,ADR,Abimé,6,30,2 - 4,Bois,50,3,,,,,Fabrication Licorne,01-05-2015,,,,,,,,,,,,,2014-2015,Animations,,3 plateaux; 4 gros cylindres; 8 grands rectangles; 4 petit rectangles; 4 petit cylindres,12/08/2019,
ok,29,Passe-trappe 1m80,R,ADR,ADR,Abimé,6,20,2,Bois,80,3,,,,,Fabrication Licorne,01-05-2014,,,,,,,,,,,,,2014-2015,Animations,,1 plateau ; 10 palets,12/08/2019,
ok,30,Pitch car,R,ADR,ADR,Bon,6,30,2 - 8,Bois,55,3,,,,,,23-07-2015,,,,,,,,,,,,,2015-2016,Animations,2 jeton orange,"10 courbes, 6 droites, 8 jetons, 10 longs rails, 6 rails courts",31/07/2019,
ok,31,Pitch car extension 1,R,ADR,ADR,Bon,6,30,2 - 8,Bois,40,3,,,,,,01-06-2016,,,,,,,,,,,,,2015-2016,Animations,barres rouge,,31/07/2019,
ok,32,Pitch car extension stunt race,R,ADR,ADR,Bon,6,30,2 - 8,Bois,40,3,,,,,,01-06-2016,,,,,,,,,,,,,2015-2016,Animations,2 barre longues ; 3 barre courtes,"2 piste droite longue , 4 pistes droites courtes; 2 jumps haut; 2 jump bas; 10 blocs polystirene. 2 barre rouge longue; 4 barre rouge courtes ",05/08/2019,
ok,33,Remonte-Balle,R,ADR,ADR,Abimé,6,10,2,Bois,50,3,,,,,Fabrication Licorne,01-05-2014,,,,,,,,,,,,,2014-2015,Animations,,1 plateau ; 2 balles,12/08/2019,
ok,34,Shuffle puck (air hockey),R,ADR,ADR,Bon,6,10,2,Bois,70,3,,,,,,23-07-2015,,,,,,,,,,,,,2015-2016,Animations,"Le palai d'origine, 2 poignets","1 plateau; 1 palet , 2  poignets",12/08/2019,
ok,35,Sky Tango,R,EQU,COM,Bon,8,30,2 - 4,Abstrait,13,1,,,68,,,19-01-2016,,,,,,,,,,,,,2015-2016,Adultes,,"68 cartes, 1 règle",02/08/2019,
ok,36,Tous à l'assaut,R,HAS,HAS,Bon,4,20,2 - 4,Médiéval,20,2,,,,,,01-09-2014,,,,,,,,,,,,,2014-2015,Enfants,,"1 fond de boite/chateau, 4 murs, 20 chevaliers colorés, 27 cartes trésor, 4 plaquettes couleur, 2 dés, 1 règle",02/08/2019,
ok,37,Mon premier trésor de jeux,R,PAR,PAR,Bon,3,20,2 - 4,Animaux,36,2,,,32,,,23-07-2015,,,,,,,,,,,,,2015-2016,Enfants,"1 étoiles, 2 prunes",2 plateau de jeux + 3 chevaux + 3 vaches + 3 moutons + 3 cochons + 2 pommes rouge + 2 prunes + 2 oeufs + 2 portions de fromage + 2feuille de salade + 2 carrotes + 1 fermier + 1 dè + 1dès multicolors + 6 étoiles + 1 lunes + 1règle du jeu + 32 cartes de jeu + 32 cartes de jeux mémories/près étable + 4 listes de courses + plaquettes ferme,12/08/2019,
ok,38,Othello,R,COM,COM³,Usé,8,60,2,Abstrait,20,2,,,,,Don Romain,01-09-2014,,,,,,,,,,,,,2014-2015,Adultes,,1 plateau; 64 pieces,12/08/2019,
,39,Ou pas houpa,R,EXP,EXP,Proto,10,60,2 - 6,Abstrait,0,1,,,,,Don auteur (proto),01-09-2014,,,,,,,,,,,,,2014-2015,Adultes,,,,
ok,40,Ouga Bouga,R,EXP,EXP,Bon,7,30,3 - 8,Préhistoire,10,1,,,,,,19-01-2016,,,,,,,,,,,,,2015-2016,Adultes,,"52 cartes, rêgles",08/09/2019,
ok,41,Perplexus - Original,R,ADR,ADR,Bon,8,30,1,Labyrinthe,23,2,,,0,,,19-01-2016,,,,,,,,,,,,,2015-2016,Adultes,,Le jeu,12/08/2019,
ok,42,Perudo,R,HAS,HAS,Bon,8,30,2 - 6,Abstrait,20,2,,,,,,19-01-2016,,,,,,,,,,,,,2015-2016,Adultes,,6 gobelets + 45 dès + 1 sachet ,01/08/2019,
,43,Petit prince (Le),R,COM,COM,Bon,8,25,2 - 5,Science Fiction,18,1,,580,,,,01-09-2014,http://www.trictrac.net/jeu-de-societe/le-petit-prince/infos,Le Petit Prince,2013,Antoine Bauza,http://img3.trictrac.net/generate/default_100_100/1364234645.r70wPV.png,Bruno Cathala,,,,,,,2014-2015,Adultes,8 tuiles,88 tuiles (60*60) + 5 pions,09/08/2019,
,44,Photo Party,R,EXP,EXP,Bon,6,20,3 - 10+,Abstrait,10,1,,,,,Don de Sandrine,01-09-2014,,,,,,,,,,,,,2014-2015,Enfants,,46 cartes épreuve ; 3 cartes régles,29/07/2019,
,45,Pictionary,R,EXP,EXP,Usé,6,30,4 - 8,Abstrait,40,3,,,,,Don Damiem,01-09-2014,,,,,,,,,,,,remplacer crayons + blocs papier,2014-2015,Enfants,2 crayons,206 cartes; 4 cartes catégorie; 4 crayons; 4 blocs papier; 1 plateau; 4 cubes; 1 sablier; 1dé a point; 1 dé challenge,02/08/2019,
ok,46,Pictureka,R,ASS,ASS,Usé,6,25,2 +,Abstrait,38,2,,980,220,56*88,,01-09-2014,http://www.trictrac.net/jeu-de-societe/pictureka--0/infos,Pictureka !,2008,Eugene,http://img2.trictrac.net/generate/default_100_100/1359042818.I8Ydq.jpg,Arne Lauwers,,,,,,,2014-2015,Adultes,,1 tapis de jeu + 1 plateau + 2 pinguins + 30 pions  + 6 boites,31/07/2019,
serait vendu,47,Poker des cafards (Le),R,EXP,EXP,Bon,8,30,2 - 6,Animaux,10,1,oui,,64,,,19-01-2016,,,,,,Zeimet,,,,,,,2015-2016,Adultes,,"64 cartes, regles",09/08/2019,
ok,48,Premier verger (mon),R,COO,HAS,Bon,2,30,1 - 4,Fruits,23,2,,,,,,19-01-2016,,,,,,,,,,,,,2015-2016,Enfants,,1 panier de fruit ; 16 fruit; 5 tuiles chemin; 4 rond; 1 dé,02/08/2019,
ok,49,Princesse au petit pois (La),R,ADR,ADR,Bon,3,20,2 - 4,Médiéval,20,2,,,,,,01-09-2014,,,,,,,,,,,,,2014-2015,Enfants,,"1 princesse, 1 petit pois, 4 garnitures de lit, 1 plateau de jeu, 1 lit, 1 dé et regle",02/08/2019,
ok,50,Qwirkle,R,COM,COM,Bon,6,30,2 - 4,Abstrait,32,2,,,,,,01-09-2014,,,,,,,,,,,,,2014-2015,Adultes,,108 tuiles ; 1 sac ; 1 règle,26/08/2019,
ok,51,Roi des Nains (Le),R,COM,COM,Usé,10,30,3 - 5,Fantasy,14,1,,315,53,62*113,,01-09-2014,http://www.trictrac.net/jeu-de-societe/le-roi-des-nains/infos,Le Roi des Nains,2011,Swal,http://img2.trictrac.net/generate/default_100_100/1370003455.Y70bn.jpeg,Bruno Faidutti,,,,,,,2014-2015,Adultes,2 tuiles de quète,39 cartes de base + 14 cartes spéciales + 20 tuiles quêtes ,31/07/2018,
ok,52,Shinobi Wat-aah,R,COM,COM,Bon,10,30,2 - 4,Asie,25,2,,660,94,62*113,,01-10-2014,http://www.trictrac.net/jeu-de-societe/shinobi-wat-aah/infos,Shinobi Wat-AAH!,2014,Naïade,http://img4.trictrac.net/generate/default_100_100/1377510124.P3VuW8e.png,Théo Rivière,,,,,,,2014-2015,Adultes,,63*88 pour autres cartes + 1 plateau + 48 pions +5 jetons,01/08/2019,
ok,53,Sushi dice,R,COM,COM,Bon,6,15,2 - 6,Asie,19,1,,295,19,63*88,,01-10-2014,http://www.trictrac.net/jeu-de-societe/sushi-dice/infos,Sushi Dice,2014,Aoulad,http://img.trictrac.net/generate/default_100_100/1364159993.1N531.gif,Henri Kermarrec,,,,,,,2014-2015,Adultes,,"12 dés et une sonnette, 1 règle de jeu, 19 cartes",02/08/2019,
ok,54,Takenoko géant,R,COM,COM,Bon,8,45,2 - 4,Asie,350,3,,,,,Participation : Guilde du Jeu,01-10-2014,http://www.trictrac.net/jeu-de-societe/takenoko-geant/infos,Takenoko géant,2013,Nicolas Fructus,"http://img2.trictrac.net/generate/default_100_100/1364143905.Wyy29.jpeg
http://img.trictrac.net/generate/default_100_100/1364158493.LsPi6e.jpeg",Antoine Bauza,,,,,,,2014-2015,Adultes,1 règle de jeu,"28 tuiles terrain, 31 bambous verts, 30 bambous jaunes, 24 bambous roses, 20 baton irrigation, 9 jetons aménagement, 46 cartes objectif, 4 plateaux individuels, 8 jetons action, 1 dé météo, 1 panda, 1 jardinier, 1 règle de jeu",12/08/2019,
A vendre,55,Wu xing,R,ADR,ADR,Bon,8,10,2 - 6,Asie,11,1,oui,131,60,66*66,,01-10-2014,http://www.trictrac.net/jeu-de-societe/wuxing/infos,WuXing,2014,Peter Desfertilles,,Antoine Riot,,,,,,,2014-2015,Adultes,,régle ; 60 cartes,30/07/2019,
ok,56,6 qui prend,R,COM,COM,Bon,10,30,2 - 10,Animaux,11,1,,256,104,57*88,,01-10-2014,http://www.trictrac.net/jeu-de-societe/6-qui-prend--2/infos,6 qui prend !,2012,Franz Vohwinkel,"http://img2.trictrac.net/generate/default_100_100/1367829433.RkWy0q6v.jpeg
http://img4.trictrac.net/generate/default_100_100/1364137881.FcX95Nc.jpeg",Wolfgang Kramer,,,,,,,2014-2015,Adultes,,"104 cartes, 1 règle + extension",09/08/2019,
,57,6 qui prend,R,COM,COM,Bon,10,30,2 - 10,Animaux,11,1,,256,104,57*88,,01-10-2014,http://www.trictrac.net/jeu-de-societe/6-qui-prend--2/infos,6 qui prend !,2012,Franz Vohwinkel,"http://img2.trictrac.net/generate/default_100_100/1367829433.RkWy0q6v.jpeg
http://img4.trictrac.net/generate/default_100_100/1364137881.FcX95Nc.jpeg",Wolfgang Kramer,,,,,,,2014-2015,Adultes,,"104 cartes, 1 règle + extension",06/08/2019,
ok,58,Banzai,R,ASS,ASS,Bon,7,20,3 - 12,Animaux,18,1,,230,62,,,01-10-2014,http://www.trictrac.net/jeu-de-societe/banzai-0/infos,Banzaï,2010,Franck Drevon,http://img4.trictrac.net/generate/default_100_100/1364147436.kBu9lXeI.jpeg,Tom Berjoan,,,,,,,2014-2015,Adultes,,"11 pions, 62 cartes, 1 règle de jeu",02/08/2019,
ok,59,Chasse aux Gigamons (La),R,ASS,ASS,Bon,5,30,2 - 4,Fantasy,19,1,,,,,,19-01-2016,,,,,,,,,,,,,2015-2016,Enfants,,7 gigamons + 3 rochers + 42 tuiles + 1 règle,06/08/2019,
ok,60,Chasse aux monstres,R,ASS,ASS,Bon,3,20,2 - 5,Fantasy,18,1,,,,,,23-07-2015,,,,,,,,,,,,,2015-2016,Enfants,1 dés et jetons avion,"1 règle, 20 cartes monstre, 10 tuiles jouet, 2 tuiles expert, 3 tuiles progression monstres, 1 boite/placard",31/07/2019,
ok,61,Clac clac,R,ASS,ASS,Bon,4,15,2 - 6,Abstrait,24,2,,,,,,01-10-2014,,,,,,Haim Shafir,,,,,,,2014-2015,Adultes,,36 discs + 1 dès symbol + 1 dès couleurs + 1 règle de jeu,02/08/2019,
ok,62,Crazy cups,R,ASS,ASS,Bon,6,20,2 - 4,Abstrait,18,1,,415,24,57*88,,01-10-2014,http://www.trictrac.net/jeu-de-societe/crazy-cups/infos,Crazy Cups,2013,,"http://img2.trictrac.net/generate/default_100_100/1367829433.RkWy0q6v.jpeg
http://img4.trictrac.net/generate/default_100_100/1364137881.FcX95Nc.jpeg",Haim Shafir,,,,,,,2014-2015,Adultes,,20 gobelets + 1 sonette + 24 cartes,01/08/2019,
ok,63,Crazy cups extension,R,ASS,ASS,Passable,6,20,2 - 4,Abstrait,10,1,,,,57*88,,01-10-2014,http://www.trictrac.net/jeu-de-societe/crazy-cups/infos,Crazy Cups,2013,,"http://img2.trictrac.net/generate/default_100_100/1367829433.RkWy0q6v.jpeg
http://img4.trictrac.net/generate/default_100_100/1364137881.FcX95Nc.jpeg",Haim Shafir,,,,,,,2014-2015,Adultes,10 gobelets 1 cartes,19 cartes,01/08/2019,
ok,64,Crazy Time,R,REF,REF,Bon,10,30,4 - 8,Steampunk,13,1,,,110,,,18-01-2016,,,,,,,,,,,,,2015-2016,Adultes,,110 cartes,09/08/2019,
ok,65,Danse des œufs (La),R,ADR,ADR,Usé,6,10,2 - 4,Animaux,20,2,,773,,,,01-10-2014,http://www.trictrac.net/jeu-de-societe/la-danse-des-oeufs/infos,La danse des oeufs,2013,Martina Leykamm,http://img3.trictrac.net/generate/default_100_100/1359042025.6F2YE.jpg,Roberto Fraga,,,,,,,2014-2015,Enfants,Oeuf en bois + 1 oeuf en plasitque,1 œuf en bois + 9 œufs en caoutchou + 2 dés,30/07/2019,
ok,66,Défi de chevalier,R,ASS,ASS,Bon,5,10,2 - 4,Médiéval,12,1,,375,,,,01-10-2014,http://www.trictrac.net/jeu-de-societe/defis-de-chevalier/infos,Défis de Chevalier,2014,Michael Menzel,http://img3.trictrac.net/generate/default_100_100/1359042025.6F2YE.jpg,Johannes Zirm,,,,,,,2014-2015,Enfants,,36 tuiles triangulaires + 1 jeton chevalier + 18 tuiles carrées,02/08/2019,
ok,67,Descendance,R,REF,REF,Bon,10,120,2 - 4,Médiéval,32,2,,,,,,18-01-2016,,,,,,,,,,,,,2015-2016,Adultes,,44 meeples famille (4*11 ) 4 moines noirs; 1 marqueurs 1 er joueur;40 tuiles marchandes; 24 tuiles clients; 15 pieces; 20 sacs de grains; 3 cartes mise en place; 1 cartes résumé de messe; 32 marqueurs; 72 cubes d'influences; 2 sacs; 4 ferme; 1 plateu; 6 cubes pestes,09/08/2019,
ok,68,Dicetown,R,COM,COM,Bon,8,45,2 - 5,Western,30,2,,910,44,88*58,,01-10-2014,http://www.trictrac.net/jeu-de-societe/dice-town/infos,Dice Town,2009,Ludovic Maublanc,http://img2.trictrac.net/generate/default_100_100/1364143905.Wyy29.jpeg,Bruno Cathala,,,,,,,2014-2015,Adultes,,1 plateau de jeu + 5 gobelets + 25 dés + 43 billets + 30 pepites + étoile de shérif + 44 cartes,06/08/2019,
ok,69,Dobble,R,ASS,ASS,Bon,6,10,2 - 8,Abstrait,14,1,,160,55,85,,01-10-2014,http://www.trictrac.net/jeu-de-societe/dobble/infos,Dobble,2009,Denis Blanchot,http://img2.trictrac.net/generate/default_100_100/1364147704.J4vzw.jpeg,Igor Polouchine,,,,,,,2014-2015,Adultes,,55 cartes,01/08/2019,
ok,70,Dobble Kids,R,ASS,ASS,Bon,4,20,2 - 5,"Animaux
",11,1,,,,,,23-07-2015,,,,,,,,,,,,,2015-2016,Enfants,,30 cartes,01/08/2019,
ok,71,Hand's Up,R,ADR,ADR,Bon,6,15,2 - 8,Abstrait,10,1,,,,,,01-10-2014,http://www.trictrac.net/jeu-de-societe/hands-up/infos,Hands Up,2002,Uwe Schildmeier,http://img2.trictrac.net/generate/default_100_100/1364137998.K9nNL.png,Jacques Zeimet,,,,,,,2014-2015,Adultes,,58 cartes; régles,01/08/2019,
,72,Jeu des cochons géant,R,HAS,HAS,Cassé,8,20,2 - 6,Animaux,15,1,,,,,Sandrine,01-10-2014,,,,,,,,,,,,,2014-2015,Enfants,,,,
ok,73,Play me ,R,COM,COM,Bon,8,10,2 - 6,Alice au Pays des Meveilles,20,2,,216,6,110*78,,05-10-2014,http://www.trictrac.net/jeu-de-societe/play-me-alice-au-pays-des-merveilles/infos,Play Me : Alice au pays Dés-Merveilles,2014,Samir Guessab,,Aldebaran Geneste,,,,,,,2014-2015,Adultes,,36 dés + 1 tuile carré 110*110 + 1 tuile ronde 100,31/07/2019,
ok,74,Maitre renard,R,ASS,ASS,Bon,7,20,2 - 4,Animaux,24,2,,441,8,78*109,,01-02-2015,http://www.trictrac.net/jeu-de-societe/maitre-renard-0/infos,Maître Renard,2015,Charlène Le Scanff,http://img3.trictrac.net/generate/default_100_100/1380887464.Q32eV.jpeg,Frédéric Vuagnat,,,,,,,2014-2015,Enfants,3 oeufs,Règles + 4 masques + 8 cartes missions + 24 pions butin + 5 pions ruse + 30 pions ooeuf,02/08/2019,
ok,75,Hop la bille,R,ADR,ADR,Bon,6,20,2 - 4,Ecole,21,2,,280,14,84*56,F. Toscano,01-02-2015,http://www.trictrac.net/jeu-de-societe/hop-la-bille/infos,Hop la bille,2013,Tony Rochon,http://img4.trictrac.net/generate/default_100_100/1370440372.51af42b421609.jpg,Florent Toscano,,,,,,,2014-2015,Adultes,,"20 billes, 1 Plateau tissu, 14 cartes, 1 règle",30/07/2015,
ok,76,Hop la puce,R,ADR,ADR,Bon,6,15,2 - 4,Ecole,21,2,,152,12,56*85,F. Toscano,01-02-2015,http://www.trictrac.net/jeu-de-societe/hop-la-puce/infos,Hop la puce,2014,Tony Rochon,http://img4.trictrac.net/generate/default_100_100/1370440372.51af42b421609.jpg,Florent Toscano,,,,,,,2014-2015,Adultes,1 puce rouge,15 puces + 4 lanceurs + 2 anneaux + 1 livret,30/07/2019,
ok,77,Il était une forêt,R,COM,COM,Bon,7,15,2 - 4,Nature,15,1,,175,66,56*85,F. Toscano,01-02-2015,http://www.trictrac.net/jeu-de-societe/il-etait-une-foret/infos,Il était une forêt,2013,David Boniffacy,http://img4.trictrac.net/generate/default_100_100/1370440372.51af42b421609.jpg,Florent Toscano,,,,,,,2014-2015,Adultes,,66 cartes,09/08/2017,
